gas_type,distance,consume,speed,temp_inside,temp_outside
E10,28.0,5.0,26.0,21.5,12.0
E10,12.0,4.2,30.0,21.5,13.0
E10,11.2,5.5,38.0,21.5,15.0
E10,12.9,3.9,36.0,21.5,14.0
E10,18.5,4.5,46.0,21.5,15.0
E10,8.3,6.4,50.0,21.5,10.0
E10,7.8,4.4,43.0,21.5,11.0
E10,12.3,5.0,40.0,21.5,6.0
E10,4.9,6.4,26.0,21.5,4.0
E10,11.9,5.3,30.0,21.5,9.0
E10,12.4,5.6,42.0,21.5,4.0
E10,11.8,4.6,38.0,21.5,0.0
E10,12.3,5.9,59.0,21.5,10.0
E10,24.7,5.1,58.0,21.5,12.0
E10,12.4,4.7,46.0,21.5,11.0
E10,17.3,5.1,24.0,21.5,5.0
E10,11.8,5.1,32.0,21.5,3.0
E10,25.9,4.9,39.0,21.5,8.0
E10,11.8,4.7,40.0,21.5,4.0
E10,25.3,5.5,32.0,21.5,3.0
E10,14.2,5.9,38.0,21.5,1.0
E10,17.9,5.7,37.0,21.5,1.0
E10,11.8,4.7,36.0,21.5,1.0
E10,12.3,5.9,62.0,21.5,6.0
E10,12.4,4.1,57.0,21.5,9.0
E10,18.4,5.7,21.0,22.5,2.0
E10,18.4,5.8,28.0,21.5,3.0
E10,18.3,5.5,29.0,21.5,1.0
E10,18.4,5.7,35.0,21.5,4.0
E10,12.3,5.3,51.0,21.5,11.0
E10,11.8,5.0,29.0,21.5,10.0
E10,12.3,5.6,58.0,21.5,8.0
E10,19.0,4.3,36.0,21.5,7.0
E10,12.1,5.7,36.0,21.5,8.0
E10,20.0,5.2,37.0,21.5,4.0
E10,11.8,4.8,23.0,21.5,9.0
E10,12.3,6.5,58.0,21.5,7.0
E10,11.7,4.6,37.0,21.5,6.0
E10,10.2,4.3,44.0,21.5,7.0
SP98,5.4,3.3,32.0,21.5,7.0
SP98,14.2,5.1,32.0,21.5,7.0
SP98,16.0,4.9,25.0,21.5,8.0
SP98,11.8,4.9,25.0,21.5,11.0
SP98,27.3,4.7,36.0,21.5,10.0
SP98,10.6,4.9,63.0,21.5,6.0
SP98,11.6,4.2,61.0,21.5,7.0
SP98,6.1,6.4,28.0,21.5,8.0
SP98,11.8,4.9,24.0,21.5,7.0
SP98,12.3,6.2,61.0,21.5,8.0
SP98,12.4,4.2,57.0,21.5,8.0
SP98,9.8,5.8,24.0,21.5,6.0
SP98,6.8,5.3,26.0,21.5,6.0
SP98,12.4,5.4,24.0,21.5,7.0
SP98,12.4,4.7,57.0,21.5,8.0
SP98,11.8,4.6,41.0,21.5,6.0
SP98,12.3,5.4,55.0,21.5,8.0
SP98,14.0,4.3,40.0,21.5,8.0
SP98,12.3,5.2,55.0,21.5,12.0
SP98,2.0,6.2,20.0,21.5,10.0
SP98,13.9,5.1,29.0,21.5,6.0
SP98,9.7,3.9,42.0,21.5,8.0
SP98,11.6,5.0,25.0,21.5,6.0
SP98,14.2,5.4,38.0,21.5,7.0
SP98,11.8,4.5,39.0,21.5,6.0
SP98,24.8,5.1,50.0,21.5,9.0
SP98,12.4,4.7,56.0,21.5,7.0
SP98,12.4,4.7,43.0,21.5,10.0
SP98,11.8,5.3,52.0,21.5,11.0
SP98,15.7,5.3,33.0,21.5,9.0
SP98,12.9,5.7,35.0,21.5,9.0
SP98,6.4,4.4,37.0,21.5,10.0
SP98,5.3,4.1,34.0,21.5,9.0
SP98,4.9,6.5,26.0,21.0,1.0
SP98,11.8,4.7,36.0,21.0,4.0
SP98,16.6,5.1,56.0,21.0,7.0
SP98,12.4,5.7,37.0,21.0,7.0
SP98,15.9,5.4,25.0,21.0,7.0
SP98,17.3,5.6,37.0,21.5,1.0
SP98,11.8,4.3,44.0,21.5,-3.0
SP98,15.9,5.7,46.0,21.5,5.0
SP98,5.1,6.4,39.0,21.5,4.0
SP98,16.1,4.5,33.0,21.5,6.0
SP98,11.8,4.5,43.0,21.5,3.0
SP98,4.2,6.0,26.0,21.5,5.0
SP98,17.4,5.1,30.0,21.5,5.0
E10,12.3,5.4,58.0,21.5,13.0
E10,12.4,4.3,49.0,21.5,17.0
E10,7.0,5.2,25.0,21.5,17.0
E10,11.8,4.1,37.0,21.5,10.0
E10,20.1,4.4,41.0,21.5,18.0
E10,20.8,4.5,45.0,21.5,10.0
E10,16.8,4.0,46.0,21.5,8.0
E10,9.9,5.0,28.0,21.5,9.0
E10,11.8,4.3,37.0,21.5,7.0
E10,26.6,4.8,38.0,21.5,7.0
E10,18.9,4.4,53.0,21.5,2.0
E10,6.1,6.3,26.0,21.5,5.0
E10,16.4,4.8,49.0,21.5,5.0
E10,12.3,6.1,40.0,21.5,6.0
E10,21.1,4.6,36.0,21.5,8.0
E10,21.1,4.8,43.0,21.5,7.0
E10,22.7,4.7,55.0,21.5,6.0
E10,11.8,4.9,44.0,21.5,0.0
E10,26.2,4.9,42.0,21.5,6.0
E10,12.4,5.3,38.0,21.0,-5.0
E10,14.1,5.3,47.0,21.0,-3.0
E10,16.2,5.2,29.0,21.0,0.0
E10,12.3,4.9,50.0,22.5,0.0
E10,12.4,5.2,51.0,22.5,1.0
E10,12.3,5.1,55.0,22.5,8.0
E10,12.3,4.8,41.0,22.5,7.0
SP98,12.1,4.2,43.0,22.0,4.0
SP98,11.8,4.5,41.0,21.5,13.0
SP98,28.2,4.6,54.0,21.5,14.0
SP98,6.1,5.6,24.0,21.5,13.0
SP98,19.6,4.9,43.0,21.5,13.0
SP98,22.2,3.8,42.0,21.5,15.0
SP98,12.6,4.1,33.0,21.5,17.0
SP98,12.1,4.4,33.0,22.5,5.0
SP98,15.7,4.1,32.0,22.5,13.0
SP98,16.2,4.4,26.0,22.5,11.0
SP98,12.8,4.6,22.0,22.5,12.0
